
Variable	                             |  Description
-----------------------------------------------------------------------------------------
AUTHENTICATION_LDAP_CLIENT_LOG	         |  Client-side LDAP authentication logging level.
AUTHENTICATION_PAM_LOG	                 |  PAM authentication plugin debug logging settings.
CC	                                     |  The name of your C compiler (for running CMake).
CXX	                                     |  The name of your C++ compiler (for running CMake).
CC	                                     |  The name of your C compiler (for running CMake).
DBI_USER	                             |  The default user name for Perl DBI.
DBI_TRACE	                             |  Trace options for Perl DBI.
HOME	                                 |  The default path for the mysql history file is $HOME/.mysql_history.
LD_RUN_PATH	                             |  Used to specify the location of libmysqlclient.so.
LIBMYSQL_ENABLE_CLEARTEXT_PLUGIN	     |  Enable mysql_clear_password authentication plugin; see Section 6.4.1.6, “Client-Side Cleartext Pluggable Authentication”.
LIBMYSQL_PLUGIN_DIR	                     |  Directory in which to look for client plugins.
LIBMYSQL_PLUGINS	                     |  Client plugins to preload.
MYSQL_DEBUG	                             |  Debug trace options when debugging.
MYSQL_GROUP_SUFFIX	                     |  Option group suffix value (like specifying --defaults-group-suffix).
MYSQL_HISTFILE	                         |  The path to the mysql history file. If this variable is set, its value overrides the default for $HOME/.mysql_history.
MYSQL_HISTIGNORE	                     |  Patterns specifying statements that mysql should not log to $HOME/.mysql_history, or syslog if --syslog is given.
MYSQL_HOME	                             |  The path to the directory in which the server-specific my.cnf file resides.
MYSQL_HOST	                             |  The default host name used by the mysql command-line client.
MYSQL_OPENSSL_UDF_DH_BITS_THRESHOLD	     |  Maximum key length for create_dh_parameters(). See Section 6.6.2, “MySQL Enterprise Encryption Usage and Examples”.
MYSQL_OPENSSL_UDF_DSA_BITS_THRESHOLD	 |  Maximum DSA key length for create_asymmetric_priv_key(). See Section 6.6.2, “MySQL Enterprise Encryption Usage and Examples”.
MYSQL_OPENSSL_UDF_RSA_BITS_THRESHOLD	 |  Maximum RSA key length for create_asymmetric_priv_key(). See Section 6.6.2, “MySQL Enterprise Encryption Usage and Examples”.
MYSQL_PS1                           	 |  The command prompt to use in the mysql command-line client.
MYSQL_PWD                           	 |  The default password when connecting to mysqld. Using this is insecure. See Section 6.1.2.1, “End-User Guidelines for Password Security”.
MYSQL_TCP_PORT	                         |  The default TCP/IP port number.
MYSQL_TEST_LOGIN_FILE	                 |  The name of the .mylogin.cnf login path file.
MYSQL_TEST_TRACE_CRASH	                 |  Whether the test protocol trace plugin crashes clients. See note following table.
MYSQL_TEST_TRACE_DEBUG	                 |  Whether the test protocol trace plugin produces output. See note following table.
MYSQL_UNIX_PORT     	                 |  The default Unix socket file name; used for connections to localhost.
MYSQLX_TCP_PORT     	                 |  The X Plugin default TCP/IP port number.
MYSQLX_UNIX_PORT	                     |  The X Plugin default Unix socket file name; used for connections to localhost.
PATH	                                 |  Used by the shell to find MySQL programs.
PKG_CONFIG_PATH     	                 |  Location of mysqlclient.pc pkg-config file. See note following table.
TMPDIR	                                 |  The directory in which temporary files are created.
TZ	                                     |  This should be set to your local time zone. See Section B.3.3.7, “Time Zone Problems”.
UMASK	                                 |  The user-file creation mode when creating files. See note following table.
UMASK_DIR	                             |  The user-directory creation mode when creating directories. See note following table.
USER	                                 |  The default user name on Windows when connecting to mysqld.
